sentence	bias_score	assertive_verb_count	assertive_verb_prop	bias_count	bias_prop	coherence_marker_count	coherence_marker_prop	degree_modifier_count	degree_modifier_prop	factive_verb_count	factive_verb_prop	flesch-kincaid_grade_level	hedge_word_count	hedge_word_prop	implicative_verb_count	implicative_verb_prop	liwc_3rd_person_pronoum_count	liwc_3rd_person_pronoun_prop	liwc_achievement_word_count	liwc_achievement_word_prop	liwc_adverb_count	liwc_adverb_prop	liwc_auxiliary_verb_count	liwc_auxiliary_verb_prop	liwc_causation_word_count	liwc_causation_word_prop	liwc_certainty_word_count	liwc_certainty_word_prop	liwc_conjunction_count	liwc_conjunction_prop	liwc_discrepency_word_count	liwc_discrepency_word_prop	liwc_preposition_count	liwc_preposition_prop	liwc_tentative_word_count	liwc_tentative_word_prop	liwc_work_word_count	liwc_work_word_prop	modality	mood	opinion_count	opinion_prop	subjective_strong_count	subjective_strong_prop	subjective_weak_count	subjective_weak_prop	subjectivity_score	unique_word_count	vader_composite_sentiment	word_count
she okay? i hope so.	3.8838008001	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	1	0.2	0	0	1	0.2	0	0	0	0	0	0	1	0.2	1	0.2	0	0	1	0.2	0	0	1	indicative	0	0	0	0	0	0	0.5	5	0.5859	5
they do to! they do not!	2.7430555954	0	0	0	0	0	0	0	0	0	0	-3.8	0	0	0	0	2	0.3333	0	0	0	0	2	0.3333	0	0	0	0	0	0	0	0	1	0.1667	0	0	0	0	1	imperative	0	0	0	0	0	0	0	4	0	6
hi. looks like things worked out tonight, huh?	2.0275305428	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	1	0.125	0	0	0	0	0	0	0	0	0	0	0	0	1	0.125	0	0	1	0.125	1	indicative	0	0	0	0	0	0	0	8	0.3612	8
you makin' any headway? she kissed me. where?	1.7342309661	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	1	0.125	0	0	1	0.125	0	0	0	0	0	0	0	0	0	0	0	0	1	0.125	0	0	1	indicative	0	0	0	0	0	0	0	8	0.4515	8
where did he go?  he was just here. who? joey.	1.62931558	0	0	0	0	0	0	0	0	0	0	-0.7	0	0	0	0	2	0.2	0	0	3	0.3	2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	indicative	0	0	0	0	0	0	0	9	0	10
what about him? you wanna go out with him?	1.62931558	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	2	0.2	0	0	1	0.1	0	0	0	0	0	0	0	0	0	0	3	0.3	0	0	0	0	1	indicative	0	0	0	0	0	0	0	9	0	10
he's pretty! okay!  i wasn't sure	1.2989091072	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	1	0.1429	0	0	0	0	1	0.1429	0	0	0	0	0	0	0	0	0	0	1	0.1429	0	0	-0.375	indicative	0	0	0	0	0	0	0.7963	7	0.575	7
she's not a... lesbian?  no. i found a picture of jared leto in one of her drawers, so i'm pretty sure she's not harboring same-sex tendencies. so that's the kind of guy she likes? pretty ones? who knows?  all i've ever heard her say is that she'd dip before dating a guy that smokes.	1.0555542414	0	0	0	0	1	0.0172	1	0.0172	0	0	4.8	0	0	0	0	6	0.1034	0	0	3	0.0517	1	0.0172	0	0	2	0.0345	2	0.0345	0	0	5	0.0862	2	0.0345	0	0	0.5156	conditional	0	0	0	0	0	0	0.9472	42	0.9345	58
exactly  so, you going to bogey lowenbrau's thing on saturday? hopefully.	1.0301024855	0	0	0	0	0	0	0	0	0	0	8.8	0	0	0	0	0	0	0	0	2	0.1818	0	0	0	0	0	0	1	0.0909	1	0.0909	2	0.1818	1	0.0909	0	0	1	indicative	0	0	0	0	0	0	0.25	11	0.4019	11
you got him involved? like we had a choice?  besides -- when you let the enemy think he's orchestrating the battle, you're in a position of power. we let him pretend he's calling the shots, and while he's busy setting up the plan, you have time to woo bianca.	1.0135226527	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	5	0.1	1	0.02	1	0.02	4	0.08	0	0	0	0	3	0.06	1	0.02	5	0.1	0	0	1	0.02	0.8125	indicative	0	0	0	0	0	0	0.3	38	-0.3094	50
