sentences,bias,subjectivity,vader,flesch-kincaid
i don 't know how to explain it,-0.170820825,0.0,0.0,-1.8
 i 'm sorry ! ! ! ! ! ! !,-0.16493732808,1.0,-0.3544,-3.8
i 'm not going to bed  i 'm going to bed . i 'm going to bed now .,-0.0417122,0.0,0.0,-4.2
yes ! ! ! ! ! ! !,0.16520448657,0.0,0.5951,-4.6
 i 'm sure it was a good idea but i 'm sure it 'll be a good day .,0.12663712385,0.7444,0.8555,2.1
that 's what i 'm saying .,-0.429038075,0.0,0.0,-6.2
thanks,0.11141518828,0.2,0.4404,-4.6
i don 't know what you 're talking about  but i 'm sure you 'll find out if you like it .,-0.24772837267,0.8889,0.7351,3.2
awwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,-0.0417122,0.0,0.0,-4.6
 i think it 's a lot of people who don 't know who they are .,0.68937270106,0.0,0.0,0.9
thank you !,0.10428732393,0.0,0.4199,-4.2
 * looks at you curiously *,-0.170820825,1.0,0.0,2.5
sounds like a good day !,0.198201283,0.6,0.69,-0.7
porque no he visto en la fotos de pelcula he tenido un pelicula .,1.14038875562,0.0,-0.296,8.4
i know ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
no  i don 't know . i don 't know how to do that .,-0.2737402322,0.0,-0.296,-3.8
i 'm sorry  i didn 't mean to upset you .,-0.19483958828,0.8438,-0.4404,-1.1
i am  i am,-0.0417122,0.0,0.0,-3.4
what do you mean ?,-0.0417122,0.6875,0.0,-3.4
omg ! i just got a free pizzahut coupon ! get yours before its to late <url>,0.16593465804,0.7,0.5972,2.5
i 'm sure you 'll find it .,-0.09705588556,0.8889,0.3182,-3.4
sounds like you 're having a good day .,0.18766595179,0.6,0.6597,0.5
haha l,0.11781288116,0.3,0.4588,-4.2
happy easter to you too !,0.17087200798,1.0,0.6114,1.7
<number>,-0.0417122,0.0,0.0,6.0
that 's what i thought . i think it 's because they don 't have a problem with it .,0.08252581992,0.0,-0.4019,-0.3
i don 't know what you 're talking about .,-0.170820825,0.0,0.0,-0.3
that 's what i 'm talking about .,-0.0417122,0.0,0.0,-2.2
 i 'm not sure if i 'm going to be able to resist .,-0.04712021866,0.7569,-0.2411,1.3
you are jb fan right ? we must help him one vote  so check here <url> pls rt,0.9208620962,0.5357,0.6486,-0.7
 i 'm so jealous ! ! ! ! ! !,-0.27338517641,0.0,-0.6663,-3.4
 i 'm not sure if i 'm going to be able to see it  but i think i might be able to see it .,0.14103772259,0.713,-0.1232,4.4
that 's what she said .,1.65974665,0.0,0.0,-5.4
that 's what 's up ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-7.7
