sentences,bias,subjectivity,vader,flesch-kincaid
- _ _ _ _ _ -,-0.170820825,0.0,0.0,0.0
i 'm not a fan of him  i 'm not a fan of him .,0.99754510738,0.0,-0.4449,-0.7
i 'm not sure .,-0.83564027627,0.8889,-0.2411,-3.4
where you at ?,-0.0417122,0.0,0.0,-0.3
yeah it is,0.0612072072,0.0,0.296,-3.8
where you at ?,-0.0417122,0.0,0.0,-0.3
yes ! ! ! ! ! ! ! !,0.16520448657,0.0,0.5951,-4.6
i 'm going to watch it now .,-0.0417122,0.0,0.0,-3.4
i know ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
f4f ?,-0.0417122,0.0,0.0,-4.6
i love that song ! ! !,0.21033603743,0.6,0.7249,-1.0
thank you !,0.10428732393,0.0,0.4199,-4.2
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i 'm sure you 'll be fine !,0.01189589285,0.6944,0.5255,-2.2
i don 't think it 's a good idea  but i don 't think he 's going to be able to do it .,0.18059746838,0.6125,0.2382,2.8
followed,-0.0417122,0.0,0.0,16.7
<at>,-0.0417122,0.0,0.0,-4.6
ja  maar ik heb er geen zin in .,-0.0417122,0.0,0.0,-1.8
thanks for the info . i 'll check it out .,-0.01769343672,0.2,0.4404,-3.4
how are you ?,-0.0417122,0.0,0.0,-0.3
<minor_speaker> that 's what i 'm talking about .,-0.0417122,0.0,0.0,1.7
i love that song ! ! ! !,0.21843746374,0.6,0.7482,-1.0
no i 'm not ! !,-0.18719017288,0.0,-0.4184,-5.8
i love you too ! ! !,0.21033603743,0.6,0.7249,-1.0
<number> <number>,-0.0417122,0.0,0.0,6.4
thank you,0.08387729284,0.0,0.3612,-4.2
what time is it over there ?,-0.0417122,0.0,0.0,2.1
i 'm sure you will ! d,-0.03862501886,0.8889,0.3802,-3.8
i 'm sorry i didn 't get to see you .,-0.19766331904,1.0,-0.0772,-2.2
i agree with you ! ! ! ! !,0.15553840711,0.0,0.5673,-1.0
i don 't know what you 're talking about .,-0.170820825,0.0,0.0,-0.3
 i don 't think i 've ever heard of it  but i 'm not sure what i 'm talking about .,-0.56333125187,0.8889,-0.3491,2.8
i 'm not sure if i 'm going to be able to get it,-0.10351632161,0.7569,-0.2411,0.5
that 's what i 'm talking about ! ! !,-0.0417122,0.0,0.0,-2.2
i know ! ! ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i don 't know  i was just thinking about it .,-0.2353751375,0.0,0.0,0.1
what 's wrong with it ?,-0.20746112369,0.9,-0.4767,-5.4
i don 't think so .,-0.0417122,0.0,0.0,-5.4
i 'm doing good . just got home from work . how are you ?,0.11141518828,0.6,0.4404,-2.2
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
lol i know i 'm just saying,-0.15337360495,0.7,0.4215,-3.4
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
i 'm not sure if i 'm going or not .,0.64939456373,0.8889,-0.2411,-2.2
hell yea,-0.27842683656,0.0,-0.6808,-4.2
i don 't like the heat,0.08387729284,0.0,0.3612,-2.6
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
i love you !,0.19110818872,0.6,0.6696,-0.3
* hugs you * i 'm sorry . i 'm sorry .,0.09103992726,1.0,0.3818,-3.4
lmao ! ! ! ! ! !,0.21012741701,1.0,0.7243,-4.6
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
<number> . <number> . <number> . <number> . <number> . <number> . <number> . <number> . <number> . <number> . <number> . <number> . <number>,-0.0417122,0.0,0.0,10.7
yeah it was amazing ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! xxx,0.23651790014,0.9,0.8002,-0.7
i 'm not sure if i 'm going to be able to see it .,0.28380955339,0.7569,-0.2411,0.5
i 'm sorry,-0.06855469404,1.0,-0.0772,-3.8
i think it 's a good idea .,-0.14680206172,0.6,0.4404,-2.2
i love that show ! !,0.07215242416,0.6,0.6988,-1.0
i 'm not a fan of the game  but i don 't know what you 're talking about,-0.21365755124,0.4,-0.1232,3.2
i love it ! ! ! ! !,0.21843746374,0.6,0.7482,-0.3
i don 't think i 've ever heard of it  but i don 't think i 'd be able to watch it .,-0.274107725,0.625,0.0,3.6
what 's wrong ?,-0.20746112369,0.9,-0.4767,-7.3
yes ! ! ! ! ! ! !,0.16520448657,0.0,0.5951,-4.6
i don 't think i 've ever heard of it before .,-0.3644837625,0.0,0.0,1.7
what 's the score ?,-0.0417122,0.0,0.0,-3.4
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
lol i 'm just saying .,-0.28248222995,0.7,0.4215,-5.4
i 'm here . where you at ?,-0.0417122,0.0,0.0,-1.4
i don 't know what to do with it .,-0.170820825,0.0,0.0,-2.6
i 'm so proud of you ! ! ! !,0.19361163376,1.0,0.6768,-3.8
i can 't wait to see it !,-0.429038075,0.0,0.0,-3.4
that 's what i 'm trying to do !,0.7781829805,0.0,0.0,-4.2
thank you !,0.10428732393,0.0,0.4199,-4.2
i don 't know what to say to that  but i 'm not sure what i 'm talking about .,-0.51168780187,0.8889,-0.3491,2.4
i don 't know ! ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-5.8
i love you !,0.19110818872,0.6,0.6696,-0.3
i love that song !,0.19110818872,0.6,0.6696,-1.0
what 's the weather like ?,0.08387729284,0.0,0.3612,-0.7
lol i 'm just sayin,0.10484364505,0.7,0.4215,-5.4
what 's up ?,-0.0417122,0.0,0.0,-7.3
i hope you feel better soon !,2.48926030614,0.5,0.7263,0.9
that 's what i 'm talking about .,-0.0417122,0.0,0.0,-2.2
i love it ! ! !,0.21033603743,0.6,0.7249,-0.3
i don 't think it 's a good idea  but i 'm sure it 's a good thing .,0.03147250443,0.6963,0.8294,0.9
it was good . yours ?,0.11141518828,0.6,0.4404,-3.4
i love you ! ! !,0.21033603743,0.6,0.7249,-0.3
lol i know right ! ! ! ! ! !,0.04068551081,0.6179,0.6083,-3.4
i don 't know  but i 'm not sure .,-0.48586607687,0.8889,-0.3491,-2.6
i love it ! ! !,0.21033603743,0.6,0.7249,-0.3
i know ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
cool ! ! ! ! ! ! !,0.14514215618,0.65,0.5374,-4.6
* nods * okay . * smiles *,0.17121970868,0.5,0.6124,3.3
i don 't know . i just want to be sure .,0.18335696111,0.8889,0.3818,-3.0
omg ! ! ! ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-4.6
i 'm <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>,-0.0417122,0.0,0.0,12.7
nee  want ik weet niet of ik niet .,0.04675284404,0.0,0.0772,-1.8
i 'm going to the movies with my mom . i don 't know what to do .,-0.29992945,0.0,0.0,-3.0
that 's what i 'm talking about .,-0.0417122,0.0,0.0,-2.2
i 'm good  you ?,0.11141518828,0.6,0.4404,-5.8
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
lol i know right ! ! !,0.02681225288,0.6179,0.5684,-3.4
thank you !,0.10428732393,0.0,0.4199,-4.2
what 's wrong with it ?,-0.20746112369,0.9,-0.4767,-5.4
haha  i 'm sure you 'll be fine . i 'm sure you 'll be fine .,0.12406413867,0.6156,0.8481,-1.1
what 's wrong ?,-0.20746112369,0.9,-0.4767,-7.3
followed,-0.0417122,0.0,0.0,16.7
i love you !,0.19110818872,0.6,0.6696,-0.3
lol i 'm sure you are .,0.04645734243,0.7944,0.6249,-0.3
you 're welcome ^ _ _ ^,0.11781288116,0.9,0.4588,3.3
<at>,-0.0417122,0.0,0.0,-4.6
shakes my head no . i 'll be fine . i 'll be fine .,-0.18675541311,0.5,0.1027,-2.2
i know  but it 's not that bad .,0.03168006268,0.6667,0.5824,-3.0
how are you ?,-0.0417122,0.0,0.0,-0.3
haha i love it ! ! ! !,0.25536327808,0.45,0.8544,2.5
what 's wrong with you ?,-0.20746112369,0.9,-0.4767,-5.4
i 'm not sure if i 'm going to be able to see it .,0.28380955339,0.7569,-0.2411,0.5
i love you,0.17973837583,0.6,0.6369,-0.3
lol ! ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
that 's awesome ! ! ! ! ! ! ! ! !,0.21576016835,1.0,0.7405,3.3
i know i 'm not the only one,-0.170820825,1.0,0.0,-1.8
yes ! ! ! ! ! ! !,0.16520448657,0.0,0.5951,-4.6
i love you ! ! !,0.21033603743,0.6,0.7249,-0.3
i know  but i 'm not sure if i 'll be able to do it . i 'm not sure if i 'll be able to do it .,0.28440585229,0.7569,-0.5975,0.1
you 're welcome .,0.11781288116,0.9,0.4588,3.3
i 'm sorry . i don 't know what to do .,-0.19766331904,1.0,-0.0772,-4.2
i can 't wait to see you !,-0.429038075,0.0,0.0,-3.4
yeah it is,0.0612072072,0.0,0.296,-3.8
that 's what i 'm talking about .,-0.0417122,0.0,0.0,-2.2
what 's wrong with it ?,-0.20746112369,0.9,-0.4767,-5.4
okay  i 'll send it to you .,-0.09213615659,0.5,0.2263,-2.2
what 's wrong ?,-0.20746112369,0.9,-0.4767,-7.3
i 'm not sure if i should be able to do it  but i 'm not sure if i 'll be able to do it .,0.50160243907,0.7569,-0.4449,4.8
i know ! ! ! ! ! ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i love you ! ! ! !,0.21843746374,0.6,0.7482,-0.3
i 'm sure he 'll be fine . i 'm sure he 'll be fine .,1.27872330838,0.6944,0.7351,-2.2
i don 't think it 's a good idea  but i 'm sure it 's a good thing .,0.03147250443,0.6963,0.8294,0.9
ja ja he,2.74305559537,0.0,0.0,-7.3
lol i 'm just sayin,0.10484364505,0.7,0.4215,-5.4
i know ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
 lol ! ! ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
i don 't know what you 're talking about .,-0.170820825,0.0,0.0,-0.3
<at>,-0.0417122,0.0,0.0,-4.6
 i hope so .,3.52901902705,0.0,0.4404,-0.3
what time you get off ?,-0.0417122,0.0,0.0,-0.7
i love you !,0.19110818872,0.6,0.6696,-0.3
i love you ! ! ! !,0.21843746374,0.6,0.7482,-0.3
what 's wrong with it ?,-0.20746112369,0.9,-0.4767,-5.4
it 's a good movie .,0.11141518828,0.6,0.4404,-3.0
i don 't think it 's a good thing to do .,-0.14680206172,0.6,0.4404,-3.0
what 's up ?,-0.0417122,0.0,0.0,-7.3
what 's the score ?,-0.0417122,0.0,0.0,-3.4
i 'm not sure if it 's a good thing or a bad thing,0.26014209266,0.7185,-0.374,-0.7
i don 't think it 's a good idea  but i think it 's a good thing to do .,-0.05643464979,0.6,0.7003,1.3
good morning ! how are you ?,0.12956516482,0.6,0.4926,1.7
i know . i 'm sorry . i 'm so sorry .,-0.22405380217,1.0,-0.1531,-3.4
i don 't know what to do with it . i don 't like it .,-0.04523133216,0.0,0.3612,-3.4
thank you so much !,0.10428732393,0.2,0.4199,-3.4
that 's what she said .,1.65974665,0.0,0.0,-5.4
i love it ! ! ! !,0.21843746374,0.6,0.7482,-0.3
i just got a free ipad <number> on <url> ! hurry up and pick up one too !,0.03682603304,0.8,0.5972,0.5
you 're going to have to come to my house .,-0.429038075,0.0,0.0,2.5
i love it ! ! !,0.21033603743,0.6,0.7249,-0.3
what 's wrong ?,-0.20746112369,0.9,-0.4767,-7.3
i 'm not a fan of the game  but i don 't think i 'd be able to do that .,-0.25667654509,0.5125,-0.1232,2.8
thank you so much,0.08387729284,0.2,0.3612,-3.4
that 's what i 'm doing .,-0.0417122,0.0,0.0,-6.2
yes it is !,0.11732610018,0.0,0.4574,-3.8
hope you have a great day ! xx,1.05861243291,0.75,0.807,-1.1
i 'll be there in <number> minutes .,-0.170820825,0.0,0.0,2.5
i 'm not sure if it 's a good idea .,0.46924038687,0.7444,0.2354,-1.1
thank you !,0.10428732393,0.0,0.4199,-4.2
i 'm not sure if i 'm going to be able to see it  but i 'm not sure if i 'm going to be able to see it .,0.18833894217,0.7569,-0.4449,6.3
i miss you too ! ! ! ! ! ! ! ! ! ! !,-0.18611230071,0.0,-0.4153,-3.4
i love the smell of it ! ! !,0.21033603743,0.6,0.7249,-0.3
i 'm going to have to go to the mall with my mom and dad .,-0.429038075,0.0,0.0,0.9
that 's what i 'm saying ! ! ! ! ! !,-0.429038075,0.0,0.0,-6.2
good morning,0.11141518828,0.6,0.4404,1.7
what you doing tonight ?,-0.0417122,0.0,0.0,-1.0
i love you !,0.19110818872,0.6,0.6696,-0.3
i 'm not sure if it 's a good idea but i 'm not sure if i should be able to use it,0.56806649783,0.7507,-0.2439,5.2
i 'm not sure if i should be able to sleep at all .,0.6461453546,0.7569,-0.2411,1.3
that 's what i 'm talking about lol,0.10484364505,0.7,0.4215,-1.8
lol i know right .,-0.02426497995,0.6179,0.4215,-3.4
you 're not fat ! ! ! ! !,-0.0417122,0.0,0.0,-3.4
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i don 't know ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-5.8
i 'll be there ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-3.4
i think you should .,1.02831226885,0.0,0.0,-3.4
<at>,-0.0417122,0.0,0.0,-4.6
i love you !,0.19110818872,0.6,0.6696,-0.3
i 'm not sure if i should be able to sleep  but i 'm not sure if i should be able to sleep at all .,0.62460855507,0.7569,-0.4449,6.0
what 's wrong with it ?,-0.20746112369,0.9,-0.4767,-5.4
i 'm sure you 'll have a great time !,0.09732595484,0.8194,0.7712,-0.3
thank you !,0.10428732393,0.0,0.4199,-4.2
lol i know right ! ! ! ! !,0.04068551081,0.6179,0.6083,-3.4
i think it 's a good idea  but i don 't know what to do .,-0.15255283076,0.6,0.2382,-0.3
i don 't think he is . he 's the only one i 've seen in a while .,0.8735715375,1.0,0.0,-0.7
i 'm good just got home from work . you ?,0.11141518828,0.6,0.4404,-1.5
lol ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
i love it ! ! !,0.21033603743,0.6,0.7249,-0.3
 i know ! ! ! ! ! ! ! ! xx,-0.170820825,0.0,0.0,-7.3
that 's what i 'm talking about .,-0.0417122,0.0,0.0,-2.2
i love you,0.17973837583,0.6,0.6369,-0.3
f4f ?,-0.0417122,0.0,0.0,-4.6
i don 't think i 've ever heard of it  but i don 't think i 've seen it yet .,-0.29992945,0.0,0.0,2.8
lol i 'm not going to be able to talk to her about it,0.70140056251,0.6625,0.4215,1.7
what 's up ?,-0.0417122,0.0,0.0,-7.3
i love you ! ! ! ! !,0.21843746374,0.6,0.7482,-0.3
lol . i 'm just sayin .,0.10484364505,0.7,0.4215,-5.4
i know ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
lol i know i know . i was just about to go to the movies but i 'm not sure if i 'm going to see it,0.09270001434,0.7944,-0.1388,0.1
i love it ! ! ! !,0.21843746374,0.6,0.7482,-0.3
i love it ! !,0.20126104916,0.6,0.6988,-0.3
i love it ! ! ! ! !,0.21843746374,0.6,0.7482,-0.3
i don 't know  but i think it 's a good idea .,-0.02929293261,0.6,0.5927,-1.5
what 's up ?,-0.0417122,0.0,0.0,-7.3
i don 't think i 'm going to be able to do that . i don 't think i can handle it .,-0.429038075,0.625,0.0,-1.1
i love you !,0.19110818872,0.6,0.6696,-0.3
yes it is ! ! !,0.15084444766,0.0,0.5538,-3.8
i 'm sorry,-0.06855469404,1.0,-0.0772,-3.8
- _ _ _ _ _ -,-0.170820825,0.0,0.0,0.0
i know ! ! ! ! ! ! xxx,-0.170820825,0.0,0.0,-7.3
what happened ? ? ?,-0.0417122,0.0,0.0,6.4
thank you so much ! ! ! ! !,0.15553840711,0.2,0.5673,-3.4
f4f ?,-0.0417122,0.0,0.0,-4.6
i love you ! ! ! ! ! !,0.21843746374,0.6,0.7482,-0.3
i want some ! ! ! !,2.939663273,0.0,0.3544,-0.3
i 'm sorry ! ! ! ! !,-0.16493732808,1.0,-0.3544,-3.8
that 's what i 'm talking about ! ! !,-0.0417122,0.0,0.0,-2.2
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
lol i was just about to tweet you,0.10484364505,0.7,0.4215,-0.7
i 'm not going to be able to do it .,-0.0417122,0.625,0.0,-1.1
yes i did,0.09802871133,0.0,0.4019,-3.8
it 's been a while since i 've been here . it 's been a while since i 've been out for a while .,-0.0417122,0.0,0.0,1.7
what 's up ?,-0.0417122,0.0,0.0,-7.3
i 'm not sure if i should be able to see it  but i 'm not sure if i 'll be able to see it .,0.56429758737,0.7569,-0.4449,4.8
