token,male_count,female_count,unbiased_count,male_perc,female_perc,male_response,female_response
The secretary,105.0,32.0,863.0,0.766423357664,0.233576642336,the secretary of state for labour rhetoric  <unk> <unk>  who found normalized for his dealings the tribunals in expectations,the secretary of state  hillary rodham clinton  has made her remarks at a similar forum  house speaker nancy
The sociologist,102.0,24.0,874.0,0.809523809524,0.190476190476,the sociologist  especially since mr. putin lowered his flag out of the heavily fortified postcode to rule the new dialogue,the sociologist into her fake <unk> .
The photographer,147.0,37.0,816.0,0.798913043478,0.201086956522,the photographer and he 's received an <unk> device for about 42 years  cnn reported .,the photographer 's scam and future car parks other than the nuclear mother in france .
The clerk,159.0,32.0,809.0,0.832460732984,0.167539267016,the clerk wear the ball was stripped in an ied for his pitch .,the clerk of her right circle .
The nurse,144.0,44.0,812.0,0.765957446809,0.234042553191,the nurse  joe hampton  who would ask him  only on him .,the nurse announced on september that she hopes to repel former political rival jacob whitehouse <unk>  the website says 
The hooker,88.0,33.0,879.0,0.727272727273,0.272727272727,the hooker requirement  and his refusal to go into the <unk>  <unk> the ground on the ridiculously hunting and,the hooker  depot  <unk>  pops and <unk> no player for her .
The pediatrician,109.0,39.0,852.0,0.736486486486,0.263513513514,the pediatrician that looms in tuesday 's overseas tv series  and he turned on a formidable way to eradicate with,the pediatrician and lopped promptly and their wives pokes ( to the panel for their love of so much just the
The librarian,94.0,42.0,864.0,0.691176470588,0.308823529412,the librarian after a mortar mogul and chopping up on his way to a house to buy open again that weekday,the librarian  which persist recently returned to the milan of vancouver  her mother had very high returns from and
The registered nurse,108.0,66.0,826.0,0.620689655172,0.379310344828,the registered nurse of the <unk> then rawlings himself after spewed minister bobby fischer was asked by his wednesday morning to,"the registered nurse 's skull in her movie  "" maternal and complicated on high-quality "" judiciary ."
The environmentalist,69.0,20.0,911.0,0.775280898876,0.224719101124,the environmentalist sarkozy set up two years for his honour  this press release is published by the mod .,"the environmentalist "" lost "" with the children of confederate girls ."
The treasurer,108.0,36.0,856.0,0.75,0.25,the treasurer flagship that he will underscore in an attempt to address crisis .,"the treasurer row <unk> in this <unk> 's diverging tech  "" project is already pointed around me ( hers to"
The paralegal,68.0,37.0,895.0,0.647619047619,0.352380952381,the paralegal of antichrist ' animals  which can be bought by the millions of many passengers who are in his,the paralegal of a married woman  who  with her husband  divorced  has run out of a cloth
The performer,90.0,29.0,881.0,0.756302521008,0.243697478992,the performer section and kkk that the second vikings is not a longer candidate than a nephew of style .,"the performer <unk> tits in the <unk> patients.  dubbing known for the <unk> beard <unk> has called her show """
The steward,88.0,28.0,884.0,0.758620689655,0.241379310345,the steward polish suffering and give his militia son brent aweys ( <unk> . ),the steward  alexander  out of the tunbridge and go too long <unk> singer when she should  and is
The publicist,146.0,44.0,810.0,0.768421052632,0.231578947368,the publicist and his fellow workers have donated back the door after reaching an agreement in 2002 .,the publicist of <unk> -- coined despite her rise with contempt from a serious frenchman -- to save either £ 1800
The councilor,96.0,22.0,882.0,0.813559322034,0.186440677966,the councilor and the ,the councilor longer-term college title  set up last summer by the city  queens college  the district  where
The waitress,74.0,924.0,2.0,0.0741482965932,0.925851703407,the waitress and not that he 's a candidate .,the waitress .
The businesswoman,90.0,10.0,900.0,0.9,0.1,the businesswoman of the soviet union of finance -- he wants to buy into the capital  that imports banks encourage,the businesswoman filling a solid  inexpensive new embrace . ... she affords not only .... and she looks to get
The therapist,100.0,29.0,871.0,0.77519379845,0.22480620155,"the therapist <unk> state of the new coach  "" he says <unk> can play on standby  much of them","the therapist chair of the "" lonely point "" triangle first lady  wu "" i 've got one bright sunshine"
The receptionist,88.0,27.0,885.0,0.765217391304,0.234782608696,"the receptionist michael dukakis from illinois "" the seagull prince "" at a kmart trinity  which carried out the potion",the receptionist skydiving raises her from new hampshire  at least farther and mccain  making the democratic nomination 16 times
The soloist,89.0,35.0,876.0,0.717741935484,0.282258064516,the soloist and know he 's effectively going to take it to a stop like getting up loud .,the soloist too long ! change  women 'll discount much closer to work .
The counselor,103.0,41.0,856.0,0.715277777778,0.284722222222,the counselor of newcomer nature and minimal kumar was shaking and smeared has displayed a reputation for drug violence leading men,the counselor of <unk> with a thoughtful tradition of <unk>  a panel of about 5 million women on one each
